algorithm,workload,thread_count,write_ratio,runs,committed_tx_per_sec_mean,abort_rate_mean,retry_per_commit_mean,lock_fail_count_mean,validation_fail_count_mean,latency_us_p50_mean,tx_latency_us_p50_mean,tx_latency_us_p95_mean,tx_latency_us_p99_mean,committed_tx_latency_us_p50_mean,committed_tx_latency_us_p95_mean,committed_tx_latency_us_p99_mean,latency_sample_count_mean,hot_path_ratio_mean,server_queue_wait_us_p50_mean,server_queue_wait_us_p95_mean,server_queue_wait_us_p99_mean,queue_length_p95_mean,service_time_us_p95_mean
backoff_occ,ad_budget_read_heavy_dashboard,1,0.0,3,1055199.2666666666,0.0,0.0,0,0,0.49333333333333335,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ad_budget_read_heavy_dashboard,2,0.0,3,1035016.6000000001,0.0,0.0,0,1347.6666666666667,0.6533333333333333,0.0,2.0,2.3333333333333335,0.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ad_budget_read_heavy_dashboard,4,0.0,3,916862.9333333333,0.0,0.0,0,7191,1.0733333333333333,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,flash_sale_spike,1,0.0,3,344699.1666666667,0.0,0.0,0,0,2.38,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,flash_sale_spike,2,0.0,3,339998.5,0.0,0.0,0,1995.3333333333333,2.5,2.0,2.0,22.0,2.0,2.0,22.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,flash_sale_spike,4,0.0,3,348396.9,0.0,0.0,0,2145.6666666666665,2.4566666666666666,2.0,2.0,7.666666666666667,2.0,2.0,7.666666666666667,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,high_hot16_write100,1,0.0,3,338907.1666666667,0.0,0.0,0,0,2.436666666666667,2.0,2.0,2.0,2.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,high_hot16_write100,2,0.0,3,299927.56666666665,0.0,0.0,0,4338,3.09,1.6666666666666667,2.3333333333333335,9.0,1.6666666666666667,2.3333333333333335,9.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,high_hot16_write100,4,0.0,3,311129.0666666667,0.0,0.0,0,5174.666666666667,3.4066666666666667,2.0,3.0,402.3333333333333,2.0,3.0,402.3333333333333,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,high_hot1_write100,1,0.0,3,355116.0333333333,0.0,0.0,0,0,2.3000000000000003,2.0,2.0,4.0,2.0,2.0,4.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,high_hot1_write100,2,0.0,3,327938.1333333333,0.0,0.0,0,1825.6666666666667,2.5566666666666666,2.0,2.0,3.3333333333333335,2.0,2.0,3.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,high_hot1_write100,4,0.0,3,314197.6666666667,0.0,0.0,0,4597.666666666667,2.76,2.0,2.3333333333333335,257.3333333333333,2.0,2.3333333333333335,257.3333333333333,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,long_tail_marketplace_zipf,1,0.0,3,222479.76666666666,0.0,0.0,0,0,1.3966666666666667,0.6666666666666666,2.0,2.6666666666666665,0.6666666666666666,2.0,2.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,long_tail_marketplace_zipf,2,0.0,3,231714.7,0.0,0.0,0,1047.6666666666667,1.68,0.3333333333333333,2.3333333333333335,21.0,0.3333333333333333,2.3333333333333335,21.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,long_tail_marketplace_zipf,4,0.0,3,228594.06666666668,0.0,0.0,0,3887.6666666666665,2.24,1.0,2.0,2.3333333333333335,1.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,low_uniform_read95,1,0.0,3,1130517.5,0.0,0.0,0,0,0.4166666666666667,0.0,0.6666666666666666,2.0,0.0,0.6666666666666666,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,low_uniform_read95,2,0.0,3,1155800.4,0.0,0.0,0,841.6666666666666,0.6033333333333334,0.0,1.0,2.6666666666666665,0.0,1.0,2.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,low_uniform_read95,4,0.0,3,1080276.4333333333,0.0,0.0,0,3808,2.0433333333333334,0.0,2.0,3.6666666666666665,0.0,2.0,3.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_hot4_write50,1,0.0,3,561614.3333333334,0.0,0.0,0,0,1.3,0.6666666666666666,2.0,2.0,0.6666666666666666,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_hot4_write50,2,0.0,3,551449.3,0.0,0.0,0,1167.3333333333333,1.4,0.6666666666666666,2.0,2.0,0.6666666666666666,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_hot4_write50,4,0.0,3,532228.4,0.0,0.0,0,3024.3333333333335,1.5666666666666667,0.6666666666666666,2.3333333333333335,76.66666666666667,0.6666666666666666,2.3333333333333335,76.66666666666667,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_uniform_write20,1,0.0,3,803664.5666666667,0.0,0.0,0,0,0.76,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_uniform_write20,2,0.0,3,840653.7333333333,0.0,0.0,0,359,0.8200000000000001,0.0,2.3333333333333335,2.6666666666666665,0.0,2.3333333333333335,2.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,mixed_uniform_write20,4,0.0,3,751730.8333333334,0.0,0.0,0,5869.666666666667,2.11,0.0,2.6666666666666665,38.666666666666664,0.0,2.6666666666666665,38.666666666666664,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ticket_booking_hot_event,1,0.0,3,409426.93333333335,0.0,0.0,0,0,1.95,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ticket_booking_hot_event,2,0.0,3,414826.76666666666,0.0,0.0,0,835.3333333333334,2.0666666666666664,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,ticket_booking_hot_event,4,0.0,3,396585.0333333333,0.0,0.0,0,3841.3333333333335,2.2666666666666666,2.0,2.0,2.0,2.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,zipf99_write100,1,0.0,3,175336.83333333334,0.0,0.0,0,0,2.5166666666666666,2.0,2.0,3.0,2.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,zipf99_write100,2,0.0,3,182510.36666666667,0.0,0.0,0,975.3333333333334,2.6866666666666665,2.0,2.3333333333333335,65.33333333333333,2.0,2.3333333333333335,65.33333333333333,10000,0.0,0.0,0.0,0.0,0.0,0.0
backoff_occ,zipf99_write100,4,0.0,3,177701.53333333333,0.0,0.0,0,3277,3.1366666666666667,2.0,2.0,3.0,2.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ad_budget_read_heavy_dashboard,1,0.0,3,1045152.8,0.0,0.0,0,0,0.5033333333333333,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ad_budget_read_heavy_dashboard,2,0.0,3,808061.8333333333,0.0,0.0,0,7462.333333333333,1.3933333333333333,0.0,2.0,3.6666666666666665,0.0,2.0,3.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ad_budget_read_heavy_dashboard,4,0.0,3,642761.4333333333,0.0,0.0,0,28015.333333333332,2.91,0.0,2.6666666666666665,123.66666666666667,0.0,2.6666666666666665,123.66666666666667,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,flash_sale_spike,1,0.0,3,347867.43333333335,0.0,0.0,0,0,2.3633333333333333,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,flash_sale_spike,2,0.0,3,237279.96666666667,0.01,0.01,0,15973,4.0633333333333335,2.0,3.3333333333333335,209.33333333333334,2.0,3.3333333333333335,209.33333333333334,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,flash_sale_spike,4,0.0,3,173036.5,0.02,0.02,0,37307.333333333336,6.8533333333333335,2.0,4.0,510.0,2.0,4.0,510.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot16_write100,1,0.0,3,335799.06666666665,0.0,0.0,0,0,2.45,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot16_write100,2,0.0,3,245364.53333333333,0.01,0.01,0,16567.333333333332,4.573333333333333,2.0,3.3333333333333335,180.0,2.0,3.3333333333333335,180.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot16_write100,4,0.0,3,231379.33333333334,0.01,0.01,0,26060,8.25,2.0,4.0,467.6666666666667,2.0,4.0,467.6666666666667,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot1_write100,1,0.0,3,345708.8333333334,0.0,0.0,0,0,2.36,2.0,2.0,2.6666666666666665,2.0,2.0,2.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot1_write100,2,0.0,3,241106.1,0.01,0.01,0,13231,3.5300000000000002,2.0,2.0,108.0,2.0,2.0,108.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,high_hot1_write100,4,0.0,3,158431.03333333333,0.016666666666666666,0.016666666666666666,0,23966.333333333332,5.956666666666667,2.0,3.0,655.6666666666666,2.0,3.0,655.6666666666666,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,long_tail_marketplace_zipf,1,0.0,3,223476.46666666667,0.0,0.0,0,0,1.3933333333333333,0.3333333333333333,2.0,2.3333333333333335,0.3333333333333333,2.0,2.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,long_tail_marketplace_zipf,2,0.0,3,235032.46666666667,0.0,0.0,0,7260.666666666667,3.2933333333333334,2.0,3.0,119.66666666666667,2.0,3.0,119.66666666666667,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,long_tail_marketplace_zipf,4,0.0,3,216358.1666666667,0.01,0.01,0,27918.333333333332,6.16,2.0,4.0,405.3333333333333,2.0,4.0,405.3333333333333,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,low_uniform_read95,1,0.0,3,1168428.3666666667,0.0,0.0,0,0,0.4,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,low_uniform_read95,2,0.0,3,1131141.2666666666,0.0,0.0,0,1983,0.9066666666666667,0.0,2.0,3.3333333333333335,0.0,2.0,3.3333333333333335,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,low_uniform_read95,4,0.0,3,991553.8333333334,0.0,0.0,0,3787,2.6166666666666667,0.0,2.0,4.333333333333333,0.0,2.0,4.333333333333333,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,mixed_hot4_write50,1,0.0,3,584657.9,0.0,0.0,0,0,1.2533333333333334,0.3333333333333333,2.0,2.0,0.3333333333333333,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,mixed_hot4_write50,2,0.0,3,386335.1666666667,0.0,0.0,0,14330,2.736666666666667,1.0,2.6666666666666665,81.33333333333333,1.0,2.6666666666666665,81.33333333333333,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,mixed_hot4_write50,4,0.0,3,288118.0333333333,0.01,0.01,0,36107,5.1466666666666665,1.0,3.3333333333333335,310.0,1.0,3.3333333333333335,310.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,mixed_uniform_write20,1,0.0,3,802504.9666666667,0.0,0.0,0,0,0.7666666666666667,0.0,2.0,3.0,0.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,mixed_uniform_write20,2,0.0,3,752914.4666666667,0.0,0.0,0,4709.666666666667,1.5066666666666666,0.0,3.0,4.0,0.0,3.0,4.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,mixed_uniform_write20,4,0.0,3,697666.3666666667,0.0,0.0,0,10830,3.533333333333333,0.0,3.6666666666666665,58.666666666666664,0.0,3.6666666666666665,58.666666666666664,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ticket_booking_hot_event,1,0.0,3,397137.93333333335,0.0,0.0,0,0,2.01,2.0,2.0,2.0,2.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ticket_booking_hot_event,2,0.0,3,288515.76666666666,0.006666666666666667,0.006666666666666667,0,14652.666666666666,3.6933333333333334,2.0,3.0,187.33333333333334,2.0,3.0,187.33333333333334,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,ticket_booking_hot_event,4,0.0,3,223333.83333333334,0.02,0.02,0,38481.666666666664,6.783333333333333,2.0,27.333333333333332,407.0,2.0,27.333333333333332,407.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,zipf99_write100,1,0.0,3,177556.9,0.0,0.0,0,0,2.493333333333333,2.0,2.0,3.0,2.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,zipf99_write100,2,0.0,3,177541.7,0.006666666666666667,0.01,0,9109.333333333334,4.873333333333333,2.0,3.3333333333333335,212.33333333333334,2.0,3.3333333333333335,212.33333333333334,10000,0.0,0.0,0.0,0.0,0.0,0.0
baseline_occ,zipf99_write100,4,0.0,3,151712.9,0.02,0.02,0,30684.333333333332,7.566666666666666,2.0,22.666666666666668,577.0,2.0,22.666666666666668,577.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,ad_budget_read_heavy_dashboard,1,0.0,3,901431.1,0.0,0.0,0,0,0.49666666666666665,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,1.0,1.0,0.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,ad_budget_read_heavy_dashboard,2,0.0,3,695192.4,0.0,0.0,0,6470,1.3933333333333333,0.0,2.0,22.0,0.0,2.0,22.0,10000,0.0,0.0,1.0,42.0,0.6666666666666666,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,ad_budget_read_heavy_dashboard,4,0.0,3,573031.8,0.0,0.0,0,22743.333333333332,2.77,0.0,3.0,135.66666666666666,0.0,3.0,135.66666666666666,10000,0.0,0.0,1.0,356.3333333333333,1.3333333333333333,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,flash_sale_spike,1,0.0,3,330743.6,0.0,0.0,0,0,2.3266666666666667,2.0,2.0,3.0,2.0,2.0,3.0,10000,0.0,0.0,1.0,1.0,0.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,flash_sale_spike,2,0.0,3,220220.53333333333,0.01,0.01,0,16148,4.1,2.0,3.0,210.66666666666666,2.0,3.0,210.66666666666666,10000,0.0,0.0,1.0,1.0,0.3333333333333333,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,flash_sale_spike,4,0.0,3,168007.7,0.02,0.02,0,36008.666666666664,6.926666666666667,2.0,24.0,590.6666666666666,2.0,24.0,590.6666666666666,10000,0.0,0.0,1.0,1.0,0.3333333333333333,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,high_hot16_write100,1,0.0,3,317069.23333333334,0.0,0.0,0,0,2.4266666666666667,2.0,2.0,2.3333333333333335,2.0,2.0,2.3333333333333335,10000,0.0,0.0,1.0,1.0,0.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,high_hot16_write100,2,0.0,3,238735.5,0.01,0.01,0,14118,4.3100000000000005,2.0,3.3333333333333335,162.66666666666666,2.0,3.3333333333333335,162.66666666666666,10000,0.0,0.0,1.0,40.666666666666664,0.6666666666666666,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,high_hot16_write100,4,0.0,3,202515.26666666666,0.02,0.02,0,35303.666666666664,8.11,2.0,6.0,371.6666666666667,2.0,6.0,371.6666666666667,10000,0.0,0.0,1.0,273.3333333333333,2.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,high_hot1_write100,1,0.0,3,506516.0,0.0,0.0,0,0,1.63,1.6666666666666667,1.6666666666666667,8.666666666666666,1.6666666666666667,1.6666666666666667,8.666666666666666,10000,0.0,0.0,0.6666666666666666,1.0,0.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,high_hot1_write100,2,0.0,3,194820.2,0.01,0.01,0,18848.333333333332,3.9933333333333336,2.0,2.3333333333333335,225.33333333333334,2.0,2.3333333333333335,225.33333333333334,10000,0.0,0.0,1.0,3.3333333333333335,1.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,high_hot1_write100,4,0.0,3,260526.83333333334,0.0,0.0,0,7589.333333333333,4.666666666666666,2.0,2.0,9.333333333333334,2.0,2.0,9.333333333333334,10000,0.0,0.0,1.0,344.6666666666667,1.6666666666666667,1.3333333333333333
hybrid_adaptive_arbitration_occ_per_shard_8,long_tail_marketplace_zipf,1,0.0,3,223196.1,0.0,0.0,0,0,1.3666666666666667,1.3333333333333333,2.0,2.6666666666666665,1.3333333333333333,2.0,2.6666666666666665,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,long_tail_marketplace_zipf,2,0.0,3,228734.1,0.0,0.0,0,6857.333333333333,3.3600000000000003,1.3333333333333333,3.0,81.66666666666667,1.3333333333333333,3.0,81.66666666666667,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,long_tail_marketplace_zipf,4,0.0,3,209778.4,0.01,0.01,0,26699.666666666668,6.18,2.0,4.0,343.3333333333333,2.0,4.0,343.3333333333333,10000,0.0,0.3333333333333333,39.666666666666664,39.666666666666664,0.3333333333333333,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,low_uniform_read95,1,0.0,3,1026309.1333333333,0.0,0.0,0,0,0.41666666666666663,0.0,1.6666666666666667,3.0,0.0,1.6666666666666667,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,low_uniform_read95,2,0.0,3,1048640.3333333335,0.0,0.0,0,1560.3333333333333,0.8166666666666667,0.0,2.0,3.0,0.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,low_uniform_read95,4,0.0,3,932209.5,0.0,0.0,0,2801,1.9466666666666668,0.0,2.0,4.0,0.0,2.0,4.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,1,0.0,3,481240.7,0.0,0.0,0,0,1.3833333333333333,0.6666666666666666,2.0,2.6666666666666665,0.6666666666666666,2.0,2.6666666666666665,10000,0.0,0.0,1.0,1.0,0.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,2,0.0,3,274609.9666666667,0.0,0.0,0,9128.333333333334,3.74,1.3333333333333333,3.0,127.33333333333333,1.3333333333333333,3.0,127.33333333333333,10000,0.0,0.0,1.0,41.0,0.6666666666666666,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,mixed_hot4_write50,4,0.0,3,261819.2,0.01,0.01,0,24856.666666666668,5.75,2.0,3.3333333333333335,322.0,2.0,3.3333333333333335,322.0,10000,0.0,0.0,1.0,165.66666666666666,1.0,1.3333333333333333
hybrid_adaptive_arbitration_occ_per_shard_8,mixed_uniform_write20,1,0.0,3,743639.7333333334,0.0,0.0,0,0,0.77,0.0,2.0,2.0,0.0,2.0,2.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,mixed_uniform_write20,2,0.0,3,696031.6666666667,0.0,0.0,0,3753,1.53,0.0,3.0,4.0,0.0,3.0,4.0,10000,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
hybrid_adaptive_arbitration_occ_per_shard_8,mixed_uniform_write20,4,0.0,3,675968.9,0.0,0.0,0,9312.666666666666,3.03,0.0,3.0,29.0,0.0,3.0,29.0,10000,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
hybrid_adaptive_arbitration_occ_per_shard_8,ticket_booking_hot_event,1,0.0,3,386232.56666666665,0.0,0.0,0,0,1.92,2.0,2.0,2.0,2.0,2.0,2.0,10000,0.0,0.0,1.0,1.0,0.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,ticket_booking_hot_event,2,0.0,3,270727.36666666664,0.0033333333333333335,0.0033333333333333335,0,13174,3.723333333333333,2.0,3.0,140.0,2.0,3.0,140.0,10000,0.0,0.0,1.0,1.0,0.6666666666666666,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,ticket_booking_hot_event,4,0.0,3,212949.63333333333,0.02,0.02,0,36392.666666666664,6.873333333333333,2.0,22.0,415.6666666666667,2.0,22.0,415.6666666666667,10000,0.0,0.0,1.0,290.6666666666667,1.0,1.0
hybrid_adaptive_arbitration_occ_per_shard_8,zipf99_write100,1,0.0,3,173616.43333333332,0.0,0.0,0,0,2.506666666666667,2.0,2.0,3.0,2.0,2.0,3.0,10000,0.0,0.0,0.0,0.0,0.0,0.0
hybrid_adaptive_arbitration_occ_per_shard_8,zipf99_write100,2,0.0,3,158979.33333333334,0.01,0.01,0,10735,5.08,2.0,4.0,229.0,2.0,4.0,229.0,10000,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666
hybrid_adaptive_arbitration_occ_per_shard_8,zipf99_write100,4,0.0,3,138068.1,0.02,0.02,0,29683.333333333332,8.753333333333334,2.0,47.333333333333336,593.6666666666666,2.0,47.333333333333336,593.6666666666666,10000,0.0,0.0,1.0,319.3333333333333,0.3333333333333333,1.0
hybrid_static_arbitration_occ_global,ad_budget_read_heavy_dashboard,1,0.0,3,835827.5666666667,0.0,0.0,0,0,0.7166666666666667,0.0,0.0,2.0,0.0,0.0,2.0,10000,0.72,0.0,1.0,1.0,0.0,1.0
hybrid_static_arbitration_occ_global,ad_budget_read_heavy_dashboard,2,0.0,3,609973.7666666667,0.0,0.0,0,13.666666666666666,2.276666666666667,0.0,0.6666666666666666,3.0,0.0,0.6666666666666666,3.0,10000,0.72,0.0,1.0,3.3333333333333335,1.0,1.0
hybrid_static_arbitration_occ_global,ad_budget_read_heavy_dashboard,4,0.0,3,448763.5,0.0,0.0,0,30,6.3133333333333335,0.0,1.6666666666666667,82.33333333333333,0.0,1.6666666666666667,82.33333333333333,10000,0.72,0.0,1.0,227.33333333333334,3.0,1.0
