run_id,timestamp,algorithm,workload,application_case,thread_count,write_ratio,duration_sec,matrix,appendix_only,appendix_reason,access_pattern,hot_access_probability,hot_refresh_interval,arbitration_mode,hot_shards,sold_counter_mode,attempted_tx,committed_tx,aborted_tx,business_abort_tx,retry_count,lock_fail_count,validation_fail_count,abort_rate,retry_per_commit,committed_tx_per_sec,latency_us_p50,latency_us_p95,latency_us_p99,hot_object_count,hot_path_candidate_tx,hot_path_tx,cold_path_tx,server_arbitrated_tx,hot_path_ratio,server_queue_wait_us_p50,server_queue_wait_us_p95,server_queue_wait_us_p99,server_queue_wait_us_max,queue_length_p50,queue_length_p95,queue_length_p99,service_time_us_p50,service_time_us_p95,service_time_us_p99,service_time_us_max,hot_cold_interference_count,invariant_violation_count,duplicate_commit_count,final_stock,sold_count,initial_stock,context_switches,cpu_migrations,page_faults,elapsed_time_sec,user_time_sec,sys_time_sec
701_phase4b_global_sold_global_s1_mixed_hot4_write50_t4_w0p50_rep1,2026-05-28T07:10:43Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,4,0.5,1,phase4b_cleanup,False,,uniform,0.75,64,global,1,global,621948,621017,931,0,931,0,931,0.0,0.0,621017.0,5.24,7.86,10.48,3,482435,482435,138582,482435,0.78,0.0,1.0,153.0,9937.0,3.0,3.0,3.0,0.0,1.0,1.0,2229.0,0,0,0,639689542,310458,640000000,19992.0,,4919.0,1.02,0.48,0.9
702_phase4b_global_sold_global_s1_mixed_hot4_write50_t8_w0p50_rep1,2026-05-28T07:10:44Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,8,0.5,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,0.75,64,global,1,global,1567557,1567496,61,0,61,0,61,0.0,0.0,1567496.0,4.84,7.26,9.68,0,1200872,1200872,366624,1200872,0.77,0.0,0.0,1.0,392447.0,7.0,7.0,7.0,0.0,1.0,1.0,1127.0,0,0,0,639215990,784010,640000000,1693.0,,4927.0,1.01,0.97,0.06
703_phase4b_global_sold_per_object_s1_mixed_hot4_write50_t4_w0p50_rep1,2026-05-28T07:10:45Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,4,0.5,1,phase4b_cleanup,False,,uniform,0.75,64,per_object,1,global,655162,654058,1104,0,1104,0,1104,0.0,0.0,654058.0,5.05,7.57,10.1,10,525795,525795,128263,525795,0.8,0.0,1.0,189.0,28853.0,0.0,3.0,3.0,0.0,1.0,49.0,854.0,0,0,0,639673289,326711,640000000,20965.0,,4923.0,1.02,0.52,0.74
704_phase4b_global_sold_per_object_s1_mixed_hot4_write50_t8_w0p50_rep1,2026-05-28T07:10:46Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,8,0.5,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,0.75,64,per_object,1,global,1438302,1438011,291,0,291,0,291,0.0,0.0,1438011.0,5.03,7.54,10.06,7,1139919,1139919,298092,1139919,0.79,0.0,0.0,1.0,255933.0,0.0,7.0,7.0,0.0,1.0,1.0,1800.0,0,0,0,639280063,719937,640000000,7815.0,,4942.0,1.02,0.9,0.21
705_phase4b_global_sold_per_shard_s8_mixed_hot4_write50_t4_w0p50_rep1,2026-05-28T07:10:47Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,4,0.5,1,phase4b_cleanup,False,,uniform,0.75,64,per_shard,8,global,454078,452871,1207,0,1207,0,1207,0.0,0.0,452871.0,7.13,10.7,14.26,13,369439,369439,83432,369439,0.81,0.0,1.0,219.0,5294.0,0.0,3.0,3.0,0.0,1.0,51.0,1568.0,0,0,0,639773844,226156,640000000,24066.0,,4927.0,1.02,0.52,0.78
706_phase4b_global_sold_per_shard_s8_mixed_hot4_write50_t8_w0p50_rep1,2026-05-28T07:10:48Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,8,0.5,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,0.75,64,per_shard,8,global,1162333,1161866,467,0,467,0,467,0.0,0.0,1161866.0,6.36,9.55,12.73,0,889337,889337,272529,889337,0.77,0.0,1.0,58.0,20322.0,0.0,7.0,7.0,0.0,1.0,1.0,751.0,0,0,0,639418786,581214,640000000,11486.0,,4943.0,1.02,0.84,0.33
707_phase4b_per_product_sold_global_s1_mixed_hot4_write50_t4_w0p50_rep1,2026-05-28T07:10:49Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,4,0.5,1,phase4b_cleanup,False,,uniform,0.75,64,global,1,per_product,729217,729146,71,0,71,0,71,0.0,0.0,729146.0,4.22,6.33,8.44,0,557766,557766,171380,557766,0.76,0.0,1.0,110.0,10179.0,2.0,3.0,3.0,0.0,1.0,1.0,1325.0,0,0,0,639635616,364384,640000000,37320.0,,4923.0,1.02,0.8,0.89
708_phase4b_per_product_sold_global_s1_mixed_hot4_write50_t8_w0p50_rep1,2026-05-28T07:10:50Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,8,0.5,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,0.75,64,global,1,per_product,1445627,1445582,45,0,45,0,45,0.0,0.0,1445582.0,5.11,7.67,10.23,2,1118194,1118194,327388,1118194,0.77,0.0,0.0,1.0,360168.0,7.0,7.0,7.0,0.0,1.0,1.0,317.0,0,0,0,639276749,723251,640000000,9029.0,,4939.0,1.01,0.98,0.26
709_phase4b_per_product_sold_per_object_s1_mixed_hot4_write50_t4_w0p50_rep1,2026-05-28T07:10:51Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,4,0.5,1,phase4b_cleanup,False,,uniform,0.75,64,per_object,1,per_product,899166,898881,285,0,285,0,285,0.0,0.0,898881.0,3.36,5.04,6.72,1,691421,691421,207460,691421,0.77,0.0,1.0,106.0,5201.0,0.0,2.0,3.0,0.0,1.0,1.0,321.0,0,0,0,639550468,449532,640000000,30657.0,,4917.0,1.02,0.93,1.03
710_phase4b_per_product_sold_per_object_s1_mixed_hot4_write50_t8_w0p50_rep1,2026-05-28T07:10:52Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,8,0.5,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,0.75,64,per_object,1,per_product,1140996,1140781,215,0,215,0,215,0.0,0.0,1140781.0,6.1,9.14,12.19,0,872904,872904,267877,872904,0.77,0.0,1.0,108.0,21061.0,0.0,7.0,7.0,0.0,1.0,1.0,995.0,0,0,0,639429212,570788,640000000,18320.0,,4929.0,1.02,1.1,0.54
711_phase4b_per_product_sold_per_shard_s8_mixed_hot4_write50_t4_w0p50_rep1,2026-05-28T07:10:53Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,4,0.5,1,phase4b_cleanup,False,,uniform,0.75,64,per_shard,8,per_product,905755,905487,268,0,268,0,268,0.0,0.0,905487.0,3.34,5.01,6.68,2,699979,699979,205508,699979,0.77,0.0,1.0,97.0,6969.0,0.0,2.0,3.0,0.0,1.0,1.0,515.0,0,0,0,639547254,452746,640000000,31353.0,,4914.0,1.02,1.06,0.9
712_phase4b_per_product_sold_per_shard_s8_mixed_hot4_write50_t8_w0p50_rep1,2026-05-28T07:10:54Z,hybrid_arbitration_occ,mixed_hot4_write50,flash_sale,8,0.5,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,0.75,64,per_shard,8,per_product,1182867,1182734,133,0,133,0,133,0.0,0.0,1182734.0,5.96,8.95,11.93,1,909503,909503,273231,909503,0.77,0.0,1.0,111.0,30383.0,0.0,7.0,7.0,0.0,1.0,1.0,525.0,0,0,0,639408256,591744,640000000,15934.0,,4937.0,1.02,1.07,0.48
713_phase4b_global_sold_global_s1_high_hot16_write100_t4_w1p00_rep1,2026-05-28T07:10:55Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,4,1.0,1,phase4b_cleanup,False,,uniform,1.0,64,global,1,global,889347,889347,0,0,0,0,0,0.0,0.0,889347.0,3.52,5.29,7.05,0,889347,889347,0,889347,1.0,0.0,1.0,96.0,5632.0,3.0,3.0,3.0,0.0,1.0,1.0,3481.0,0,0,0,639110653,889347,640000000,40076.0,,4894.0,1.02,0.74,0.87
714_phase4b_global_sold_global_s1_high_hot16_write100_t8_w1p00_rep1,2026-05-28T07:10:56Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,8,1.0,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,1.0,64,global,1,global,1888816,1888816,0,0,0,0,0,0.0,0.0,1888816.0,3.62,5.43,7.24,0,1888816,1888816,0,1888816,1.0,0.0,0.0,1.0,699728.0,7.0,7.0,7.0,0.0,1.0,1.0,323.0,0,0,0,638111184,1888816,640000000,4228.0,,4894.0,1.01,0.78,0.31
715_phase4b_global_sold_per_object_s1_high_hot16_write100_t4_w1p00_rep1,2026-05-28T07:10:57Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,4,1.0,1,phase4b_cleanup,False,,uniform,1.0,64,per_object,1,global,1804903,1804903,0,0,0,0,0,0.0,0.0,1804903.0,1.97,2.96,3.94,0,1804903,1804903,0,1804903,1.0,0.0,1.0,100.0,741257.0,0.0,2.0,3.0,0.0,1.0,42.0,710.0,0,0,0,638195097,1804903,640000000,5628.0,,4881.0,1.02,0.56,0.51
716_phase4b_global_sold_per_object_s1_high_hot16_write100_t8_w1p00_rep1,2026-05-28T07:10:58Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,8,1.0,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,1.0,64,per_object,1,global,885015,885015,0,0,0,0,0,0.0,0.0,885015.0,8.13,12.2,16.26,0,885015,885015,0,885015,1.0,0.0,0.0,104.0,21530.0,0.0,4.0,7.0,0.0,1.0,1.0,1283.0,0,0,0,639114985,885015,640000000,26349.0,,4921.0,1.02,0.69,0.72
717_phase4b_global_sold_per_shard_s8_high_hot16_write100_t4_w1p00_rep1,2026-05-28T07:10:59Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,4,1.0,1,phase4b_cleanup,False,,uniform,1.0,64,per_shard,8,global,442809,442809,0,0,0,0,0,0.0,0.0,442809.0,7.49,11.24,14.99,0,442809,442809,0,442809,1.0,0.0,1.0,211.0,8533.0,0.0,3.0,3.0,0.0,1.0,54.0,2090.0,0,0,0,639557191,442809,640000000,20480.0,,4894.0,1.02,0.51,0.78
718_phase4b_global_sold_per_shard_s8_high_hot16_write100_t8_w1p00_rep1,2026-05-28T07:11:00Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,8,1.0,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,1.0,64,per_shard,8,global,1111130,1111130,0,0,0,0,0,0.0,0.0,1111130.0,6.59,9.89,13.18,0,1111130,1111130,0,1111130,1.0,0.0,1.0,72.0,19843.0,0.0,7.0,7.0,0.0,1.0,1.0,950.0,0,0,0,638888870,1111130,640000000,17725.0,,4948.0,1.02,0.76,0.5
719_phase4b_per_product_sold_global_s1_high_hot16_write100_t4_w1p00_rep1,2026-05-28T07:11:02Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,4,1.0,1,phase4b_cleanup,False,,uniform,1.0,64,global,1,per_product,862209,862209,0,0,0,0,0,0.0,0.0,862209.0,3.63,5.44,7.25,0,862209,862209,0,862209,1.0,0.0,1.0,99.0,2817.0,3.0,3.0,3.0,0.0,1.0,1.0,2287.0,0,0,0,639137791,862209,640000000,39618.0,,4898.0,1.02,0.73,0.91
720_phase4b_per_product_sold_global_s1_high_hot16_write100_t8_w1p00_rep1,2026-05-28T07:11:03Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,8,1.0,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,1.0,64,global,1,per_product,1621258,1621258,0,0,0,0,0,0.0,0.0,1621258.0,4.56,6.84,9.12,0,1621258,1621258,0,1621258,1.0,0.0,0.0,1.0,300241.0,7.0,7.0,7.0,0.0,1.0,1.0,867.0,0,0,0,638378742,1621258,640000000,9400.0,,4918.0,1.01,0.94,0.29
721_phase4b_per_product_sold_per_object_s1_high_hot16_write100_t4_w1p00_rep1,2026-05-28T07:11:04Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,4,1.0,1,phase4b_cleanup,False,,uniform,1.0,64,per_object,1,per_product,1148439,1148439,0,0,0,0,0,0.0,0.0,1148439.0,2.66,3.99,5.32,0,1148439,1148439,0,1148439,1.0,0.0,1.0,91.0,9846.0,0.0,1.0,2.0,0.0,1.0,1.0,532.0,0,0,0,638851561,1148439,640000000,22910.0,,4908.0,1.02,1.08,0.88
722_phase4b_per_product_sold_per_object_s1_high_hot16_write100_t8_w1p00_rep1,2026-05-28T07:11:05Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,8,1.0,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,1.0,64,per_object,1,per_product,1353337,1353337,0,0,0,0,0,0.0,0.0,1353337.0,5.22,7.84,10.45,0,1353337,1353337,0,1353337,1.0,0.0,1.0,164.0,200737.0,0.0,3.0,7.0,0.0,1.0,1.0,563.0,0,0,0,638646663,1353337,640000000,21380.0,,4937.0,1.02,1.01,0.81
723_phase4b_per_product_sold_per_shard_s8_high_hot16_write100_t4_w1p00_rep1,2026-05-28T07:11:06Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,4,1.0,1,phase4b_cleanup,False,,uniform,1.0,64,per_shard,8,per_product,1073643,1073643,0,0,0,0,0,0.0,0.0,1073643.0,2.87,4.3,5.73,0,1073643,1073643,0,1073643,1.0,0.0,1.0,67.0,14790.0,0.0,2.0,3.0,0.0,1.0,1.0,348.0,0,0,0,638926357,1073643,640000000,29498.0,,4900.0,1.02,1.03,0.9
724_phase4b_per_product_sold_per_shard_s8_high_hot16_write100_t8_w1p00_rep1,2026-05-28T07:11:07Z,hybrid_arbitration_occ,high_hot16_write100,flash_sale,8,1.0,1,phase4b_cleanup,True,oversubscription_threads_exceed_exposed_cores,uniform,1.0,64,per_shard,8,per_product,1657424,1657424,0,0,0,0,0,0.0,0.0,1657424.0,4.52,6.77,9.03,0,1657424,1657424,0,1657424,1.0,0.0,1.0,91.0,396951.0,0.0,7.0,7.0,0.0,1.0,1.0,574.0,0,0,0,638342576,1657424,640000000,5977.0,,4912.0,1.02,0.73,0.46
